country,code
BRASIL,010
RESERVADO,020
ARGENTINA,021
BOLIVIA,022
CHILE,023
PARAGUAI,024
URUGUAI,025
COLOMBIA,026
EQUADOR,027
ANTIGUA E. DEP. BARBUDA,028
ANTILHAS HOLANDESAS,029
ALEMANHA,030
BELGICA,031
GRA-BRETANHA,032
ARUBA,033
CANADA,034
ESPANHA,035
ESTADOS UNIDOS DA AMERICA (EUA),036
FRANCA,037
SUICA,038
ITALIA,039
COMUNIDADE DAS BAHAMAS,040
JAPAO,041
CHINA,042
COREIA,043
BARBADOS,044
PORTUGAL,045
BELIZE,046
ILHAS TURKS E CAICOS,047
RESERVADO,048
RESERVADO,049
RESERVADO,050
COSTA RICA,051
CUBA,052
CURACAO,053
COMUNIDADE DOMINICANA,054
REPUBLICA DOMINICANA,055
REPUBLICA DE EL SALVADOR,056
ESTADOS ASSOC. DAS ANTILHAS,057
ILHAS FALKLANDS,058
GRANADA,059
ILHAS GUADALUPE,060
GUATEMALA,061
REPUBLICA DO HAITI,062
HONDURAS BRITANICAS,063
HONDURAS,064
ILHAS SERRANAS,065
JAMAICA,066
ILHAS MALVINAS,067
MARTINICA,068
ILHA MILHOS,069
MONTE SERRAT,070
NICARAGUA,071
PANAMA,072
PANAMA(ZONA DO CANAL),073
PORTO RICO,074
QUITASUENO,075
RONCADOR,076
SANTA LUCIA,077
SAO CRISTOVAO,078
SAO VICENTE,079
ILHAS TURCA,080
ILHAS VIRGENS BRITANICAS,081
ILHAS VIRGENS AMERICANAS,082
BERMUDAS,083
GROENLANDIA,084
MEXICO,085
ST. PIERRE ET MIQUELON,086
GUIANA FRANCESA,087
REPUBLICA GUIANA,088
PERU,089
SURINAME,090
TRINIDAD E TOBAGO,091
VENEZUELA,092
ALBANIA,093
ANDORRA,094
AUSTRIA,095
BULGARIA,096
CHIPRE,097
DINAMARCA,098
EIRE,099
ESCOCIA,100
ILHAS FAROES,101
FINLANDIA,102
GIBRALTAR,103
GRECIA,104
HOLANDA,105
HUNGRIA,106
ILHAS BALEARES,107
ILHAS COSMOLEDO (LOMORES),108
ILHAS DO CANAL,109
INGLATERRA,110
IRLANDA DO NORTE,111
IRLANDA,112
ISLANDIA,113
IUGOSLAVIA,114
LIECHTENSTEIN,115
LUXEMBURGO,116
ILHAS DE MAN,117
MONACO,118
NORUEGA,119
REPUBLICA DE MALTA,120
PAIS DE GALES,121
PAISES BAIXOS,122
POLONIA,123
ROMENIA,124
SAN MARINO,125
SUECIA,126
"SVALBARD E JAN MAYER,IS",127
TCHECOSLOVAQUIA,128
ESTADO DA CIDADE DO VATICANO,129
CROACIA,130
SERVIA,131
ESLOVENIA,132
REPUBLICA DA MACEDONIA,133
BOSNIA HERZEGOVINA,134
REPUBLICA TCHECA,135
ESLOVAQUIA,136
MONTENEGRO,137
AZERBAIJAO,138
BASHKISTA,139
REPUBLICA DA BIELORRUSSIA,140
BURYAT,141
CARELIA,142
CAZAQUISTAO,143
CHECHEN INGUSTH,144
CHUVASH,145
DAGESTA,146
ESTONIA,147
GEORGIA,148
GORNO ALTAI,149
KABARDINO BALKAR,150
KALMIR,151
KARACHAEVOCHERKESS,152
KHAKASS,153
KOMI,154
LETONIA,155
LITUANIA,156
MARI,157
MOLDAVIA,158
OSSETIA SETENTRIONAL,159
QUIRGUISTAO,160
TADJIQUISTAO,161
TARTARIA,162
TURCOMENISTAO,163
TUVIN,164
UCRANIA,165
UDMURT,166
UNIAO SOVIETICA,167
UZBEQUISTAO,168
YAKUT,169
ABISSINIA,170
ACORES,171
AFAR FRANCES,172
REPUBLICA DA AFRICA DO SUL,173
ALTA VOLTA,174
ANGOLA,175
ARGELIA,176
BECHUANALANDIA,177
BENIN,178
BOTSUANA,179
BURUNDI,180
CAMAROES,181
CEUTA E MELILLA,182
CHADE,183
ILHAS COMORES,184
CONGO,185
COSTA DO MARFIM,186
DAOME,187
DJIBUTI,188
REPUBLICA ARABE DO EGITO,189
ETIOPIA,190
REPUBLICA DO GABAO,191
GAMBIA,192
GANA,193
GAZA,194
GUINE,195
GUINE EQUATORIAL,196
IFNI,197
"ASCENSAO E TRISTAO DA CUNHA,IS",198
ILHAS CANARIAS,199
LESOTO,200
LIBERIA,201
LIBIA,202
MADEIRA,203
MALAWI,204
MADAGASCAR,205
MALI,206
MARROCOS,207
MAURICIO,208
MAURITANIA,209
MOCAMBIQUE,210
NGUANE,211
REPUBLICA DO NIGER,212
NIGERIA,213
PAPUA NOVA GUINE,214
PRACAS NORTE AFRICANAS,215
PROTETOR DO SUDOESTE AFRICANO,216
QUENIA,217
REPUBLICA CENTRO AFRICANA,218
REUNIAO,219
RODESIA (ZIMBABWE),220
RUANDA,221
SAARA ESPANHOL,222
SANTA HELENA,223
SAO TOME E PRINCIPE,224
SEYCHELLES,225
SERRA LEOA,226
"SOMALIA, REPUBLICA",227
SUAZILANDIA,228
SUDAO,229
TANGANICA,230
TERRIT. BRITANICO DO OCEANO INDICO,231
TRANSKEI,232
TOGO,233
TUNISIA,234
UGANDA,235
ZAIRE,236
ZAMBIA,237
BURKINA FASSO,238
ZIMBABWE,239
NAMIBIA,240
AFEGANISTAO,241
ARABIA SAUDITA,242
BAHREIN,243
BIRMANIA,244
BRUNEI,245
BHUTAN,246
CATAR,247
CEILAO,248
CHINA (TAIWAN),249
COVEITE,250
EMIRADOS ARABES UNIDOS,251
FILIPINAS,252
HONG-KONG,253
IEMEN,254
INDIA,255
INDONESIA,256
IRA,257
IRAQUE,258
ISRAEL,259
JORDANIA,260
KMER/CAMBOJA,261
KUWAIT,262
LAOS,263
LIBANO,264
MACAU,265
MALASIA,266
"MALDIVAS,IS",267
MASCATE,268
MONGOLIA,269
NEPAL,270
OMAN,271
PALESTINA,272
PAQUISTAO,273
"RUIQUIU,IS",274
CINGAPURA,275
SEQUIN,276
SIRIA,277
SRI-LANKA,278
TAILANDIA,279
"TREGUA, ESTADO",280
TURQUIA,281
VIETNA DO NORTE,282
VIETNA DO SUL,283
MIANMA,284
ARQUIPELAGO MANAHIKI,285
ARQUIPELAGO MIDWAY,286
ASHMORE E CARTIER,287
AUSTRALIA,288
ARQUIPELAGO DE BISMARK,289
ILHAS COOK,290
REPUBLICA DE FIJI,291
GUAM,292
ILHAS BAKER,293
ILHAS CANTAO E ENDERBURG,294
ILHAS CAROLINAS,295
ILHAS DO PACIFICO,296
ILHAS CHRISTMAS,297
ILHAS GILBERT,298
ILHAS HOWLAND E JARVIS,299
ILHA JOHNSTON E SAND,300
ILHAS KINGMAN REEF,301
ILHAS MACQUAIRE,302
ILHAS MARIANAS,303
ILHAS MARSHALL,304
ILHAS MACDONAL E HEARD,305
ILHAS NIUE,306
ILHAS NORFOLK,307
ILHAS PALAU,308
ILHAS SALOMAO,309
ILHAS TOKELAU,310
ILHAS WAKE,311
KALIMATAN,312
ILHAS LINHA,313
NAURU,314
ILHAS NOVA CALEDONIA,315
NOVA GUINE,316
NOVA ZELANDIA,317
ILHAS NOVAS HEBRIDAS,318
TERRITORIO DE PAPUA,319
ILHAS PASCOA,320
ILHAS PITCAIRIN,321
POLINESIA FRANCESA,322
SABAH,323
SAMOA AMERICANA,324
SAMOA OCIDENTAL,325
ILHAS SANTA CRUZ,326
SARAWAK,327
TERRITORIO DE COCOS,328
TIMOR,329
TONGA,330
TUVALU,331
ILHAS WALLIS E FUTUNA,332
"ANTARTICO BRITANICO, TERRITORIO",333
ANTARTICA FRANCESA,334
TERR. ANTARTICO DA AUSTRALIA,335
ANTARTICO CHILENO,336
ANTARTICO ARGENTINO,337
ANTARTICO NORUEGUES,338
APATRIDA,339
DEPENDENCIA DE ROSS,340
TERRAS AUSTRAIS,341
BANGLADESH,342
CABO VERDE,343
GUINE BISSAU,344
IEMEN DO SUL,345
KARA KALPAK,346
ARMENIA,347
RUSSIA,348
SENEGAL,349
TANZANIA,350
MALAUI,351
REPÚBLICA DO SUDÃO DO SUL,352
ERITREIA,353
DOMINICA,354
"COREIA, REPUBLICA DA (COREIA DO SUL)",355
"CONGO, REPUBLICA DO (BRAZZAVILLE)",356
ANGUILLA,357
ILHAS CAYMAN,358
ILHAS DE GUERNSEY,359
ILHAS DE JERSEY,360
ILHAS GEORGIA DO SUL E ILHAS SANDWICH DO SUL,361
"MAYOTTE, ILHA",362
QUIRIBATI,363
